context_type,context_value,tag,lift
season,summer,central-american,1.495
season,summer,strawberries,1.594
season,summer,caribbean,1.556
season,summer,blueberries,1.771
season,summer,pancakes-and-waffles,1.111
season,summer,camping,1.371
season,summer,cocktails,1.637
season,summer,australian,1.18
season,summer,bananas,1.23
season,summer,french,1.314
season,summer,pineapple,1.243
season,summer,peppers,1.289
season,summer,steak,1.135
season,summer,salmon,1.232
season,summer,marinades-and-rubs,1.427
season,summer,cobblers-and-crisps,1.437
season,summer,scandinavian,1.809
season,summer,long-grain-rice,1.201
season,summer,middle-eastern,1.208
season,summer,chick-peas-garbanzos,1.195
season,summer,lemon,1.128
season,summer,smoothies,1.408
season,summer,frozen-desserts,1.791
season,summer,californian,1.135
season,summer,german,1.134
season,summer,omelets-and-frittatas,1.106
season,summer,tuna,1.117
season,summer,pitted-fruit,1.337
season,summer,canning,1.5
season,summer,curries,1.126
season,summer,spanish,1.454
season,summer,pork-ribs,1.22
season,summer,salsas,1.585
season,summer,lime,1.598
season,summer,burgers,1.416
season,summer,thai,1.131
season,summer,ontario,1.367
season,summer,oranges,1.23
season,summer,south-american,1.745
season,summer,british-columbian,1.259
season,summer,cupcakes,1.189
season,summer,lettuces,1.412
season,summer,moroccan,1.359
season,summer,raspberries,1.36
season,summer,peaches,1.79
season,summer,punch,1.491
season,summer,brown-rice,1.117
season,summer,hawaiian,2.009
season,summer,mango,1.696
season,summer,shakes,1.299
season,summer,lebanese,1.117
season,summer,high-fiber,1.128
season,summer,south-african,2.495
season,summer,danish,2.025
season,summer,gelatin,1.102
season,summer,melons,1.967
season,summer,jams-and-preserves,1.258
season,summer,cod,1.134
season,summer,grapes,1.597
season,summer,beef-ribs,1.339
season,summer,korean,1.248
season,summer,swedish,1.5
season,summer,turkish,1.141
season,summer,norwegian,1.795
season,summer,russian,1.294
season,summer,cuban,1.476
season,summer,ramadan,1.199
season,summer,water-bath,1.503
season,summer,new-zealand,1.365
season,summer,medium-grain-rice,1.228
season,summer,portuguese,1.462
season,summer,belgian,1.367
season,summer,iranian-persian,1.17
season,summer,hungarian,1.125
season,summer,welsh,1.117
season,summer,costa-rican,2.26
season,summer,brazilian,2.217
season,summer,turkey-burgers,1.194
season,summer,vietnamese,1.15
season,summer,non-alcoholic,2.545
season,summer,jellies,1.237
season,summer,a1-sauce,3.697
season,summer,smoker,1.528
season,summer,finnish,2.531
season,summer,dutch,1.588
season,summer,polynesian,2.803
season,summer,jewish-sephardi,1.121
season,summer,mahi-mahi,1.299
season,summer,peruvian,2.025
season,summer,puerto-rican,2.16
season,summer,argentine,2.268
season,summer,chilean,1.89
season,summer,czech,1.196
season,summer,quebec,1.35
season,summer,no-shell-fish,1.246
season,summer,venezuelan,2.344
season,summer,palestinian,1.392
season,summer,native-american,1.306
season,summer,tarts,1.191
season,summer,oaxacan,2.945
season,summer,plums,1.296
season,summer,chicken-livers,1.134
season,summer,ethiopian,1.667
season,summer,austrian,1.429
season,summer,nut-free,1.125
season,summer,saudi-arabian,1.687
season,summer,brewing,2.025
season,summer,guatemalan,2.531
season,summer,honduran,2.531
season,summer,colombian,2.531
season,summer,ecuadorean,2.531
season,summer,icelandic,2.025
season,summer,squid,1.62
season,summer,fathers-day,4.049
season,summer,micro-melanesia,2.025
season,summer,dips-lunch-snacks,1.62
season,summer,pheasant,1.35
season,summer,artichoke,2.025
season,summer,pasta-rice-and-grains-elbow-macaroni,2.025
season,winter,holiday-event,1.142
season,winter,desserts,1.133
season,winter,appetizers,1.12
season,winter,for-large-groups,1.145
season,winter,christmas,1.555
season,winter,cookies-and-brownies,1.391
season,winter,winter,1.261
season,winter,soups-stews,1.351
season,winter,chocolate,1.302
season,winter,finger-food,1.165
season,winter,fall,1.124
season,winter,gifts,1.364
season,winter,novelty,1.127
season,winter,thanksgiving,1.192
season,winter,copycat,1.136
season,winter,snacks,1.122
season,winter,yeast,1.118
season,winter,nuts,1.121
season,winter,new-years,1.38
season,winter,valentines-day,1.298
season,winter,drop-cookies,1.351
season,winter,easter,1.172
season,winter,candy,1.951
season,winter,hand-formed-cookies,1.729
season,winter,bread-machine,1.121
season,winter,roast,1.146
season,winter,midwestern,1.112
season,winter,roast-beef,1.144
season,winter,pork-sausage,1.106
season,winter,stews,1.176
season,winter,superbowl,1.121
season,winter,ham,1.274
season,winter,super-bowl,1.275
season,winter,brownies,1.112
season,winter,spinach,1.171
season,winter,chili,1.339
season,winter,bisques-cream-soups,1.316
season,winter,baking,1.401
season,winter,granola-and-porridge,1.142
season,winter,rolled-cookies,2.33
season,winter,hanukkah,1.402
season,winter,flat-shapes,1.109
season,winter,kwanzaa,1.136
season,winter,chowders,1.452
season,winter,wings,1.194
season,winter,clear-soups,1.331
season,winter,scottish,1.492
season,winter,fudge,2.258
season,winter,crab,1.216
season,winter,creole,1.121
season,winter,hidden-valley-ranch,3.521
season,winter,peanut-butter,1.266
season,winter,celebrity,1.23
season,winter,rosh-hashana,1.267
season,winter,stocks,1.32
season,winter,meatloaf,1.179
season,winter,whole-turkey,1.3
season,winter,stuffings-dressings,1.334
season,winter,beef-sausage,1.133
season,winter,mardi-gras-carnival,1.15
season,winter,scallops,1.221
season,winter,ramadan,1.163
season,winter,biscotti,1.62
season,winter,clams,1.571
season,winter,swiss,1.212
season,winter,deer,1.11
season,winter,veal,1.155
season,winter,pressure-cooker,1.442
season,winter,collard-greens,1.267
season,winter,from-scratch,1.702
season,winter,gumbo,1.102
season,winter,malaysian,1.144
season,winter,lobster,1.268
season,winter,filipino,1.106
season,winter,dairy-free,1.244
season,winter,nut-free,2.221
season,winter,pakistani,1.636
season,winter,trout,1.128
season,winter,veggie-burgers,1.636
season,winter,elk,1.711
season,winter,moose,1.711
season,winter,tempeh,2.423
season,winter,beef-organ-meats,1.212
season,winter,oysters,1.818
season,winter,brewing,1.454
season,winter,mashed-potatoes,1.818
season,winter,perch,1.118
season,winter,duck,1.616
season,winter,libyan,2.726
season,winter,macaroni-and-cheese,3.635
season,winter,beef-liver,1.363
season,winter,micro-melanesia,1.818
season,winter,labor-day,1.818
season,winter,iraqi,1.212
season,winter,dips-lunch-snacks,1.454
season,winter,duck-breasts,1.212
season,winter,sudanese,1.818
season,winter,ragu-recipe-contest,3.635
season,winter,georgian,1.818
weekday,weekday,soy-tofu,1.101
weekday,weekday,korean,1.133
weekday,weekday,hidden-valley-ranch,1.1
weekday,weekday,short-grain-rice,1.139
weekday,weekday,simply-potatoes,1.141
weekday,weekday,catfish,1.114
weekday,weekday,malaysian,1.2
weekday,weekday,from-scratch,1.199
weekday,weekday,indonesian,1.144
weekday,weekday,brazilian,1.14
weekday,weekday,reynolds-wrap,1.284
weekday,weekday,peruvian,1.188
weekday,weekday,trout,1.214
weekday,weekday,finnish,1.1
weekday,weekday,a1-sauce,1.286
weekday,weekday,argentine,1.127
weekday,weekday,whitefish,1.163
weekday,weekday,veggie-burgers,1.197
weekday,weekday,venezuelan,1.26
weekday,weekday,pakistani,1.127
weekday,weekday,beef-organ-meats,1.127
weekday,weekday,memorial-day,1.268
weekday,weekday,icelandic,1.408
weekday,weekday,squid,1.127
weekday,weekday,mussels,1.127
weekday,weekday,guatemalan,1.232
weekday,weekday,honduran,1.232
weekday,weekday,colombian,1.232
weekday,weekday,ecuadorean,1.232
weekday,weekday,mongolian,1.207
weekday,weekday,meatballs,1.207
weekday,weekday,iraqi,1.174
weekday,weekday,avocado,1.174
weekday,weekday,micro-melanesia,1.174
weekday,weekday,libyan,1.408
weekday,weekday,bass,1.408
weekday,weekday,rabbit,1.127
weekday,weekday,halloween-cupcakes,1.408
weekday,weekday,pheasant,1.408
weekday,weekday,leftovers,1.408
weekday,weekday,artichoke,1.408
weekday,weekday,sudanese,1.408
weekday,weekday,georgian,1.408
weekday,weekday,ragu-recipe-contest,1.408
weekday,weekday,pumpkin,1.408
weekday,weekday,pumpkin-bread,1.408
weekday,weekday,bread-pudding,1.408
weekday,weekend,breakfast,1.194
weekday,weekend,eggs,1.141
weekday,weekend,yeast,1.107
weekday,weekend,high-calcium,1.16
weekday,weekend,berries,1.101
weekday,weekend,new-years,1.12
weekday,weekend,tropical-fruit,1.136
weekday,weekend,dips,1.129
weekday,weekend,pies-and-tarts,1.116
weekday,weekend,pancakes-and-waffles,1.458
weekday,weekend,bread-machine,1.108
weekday,weekend,pies,1.112
weekday,weekend,rolls-biscuits,1.125
weekday,weekend,superbowl,1.104
weekday,weekend,pineapple,1.152
weekday,weekend,bananas,1.118
weekday,weekend,ham,1.112
weekday,weekend,brownies,1.169
weekday,weekend,blueberries,1.16
weekday,weekend,cake-fillings-and-frostings,1.221
weekday,weekend,lemon,1.142
weekday,weekend,st-patricks-day,1.103
weekday,weekend,marinades-and-rubs,1.102
weekday,weekend,cobblers-and-crisps,1.1
weekday,weekend,omelets-and-frittatas,1.15
weekday,weekend,scandinavian,1.142
weekday,weekend,wings,1.116
weekday,weekend,scottish,1.128
weekday,weekend,lime,1.173
weekday,weekend,sweet-sauces,1.179
weekday,weekend,halloween,1.135
weekday,weekend,high-fiber,1.15
weekday,weekend,chocolate-chip-cookies,1.235
weekday,weekend,beef-sausage,1.177
weekday,weekend,stuffings-dressings,1.179
weekday,weekend,mardi-gras-carnival,1.113
weekday,weekend,sourdough,1.206
weekday,weekend,beef-ribs,1.168
weekday,weekend,,1.113
weekday,weekend,ramadan,1.104
weekday,weekend,wild-game,1.18
weekday,weekend,deer,1.307
weekday,weekend,norwegian,1.254
weekday,weekend,new-zealand,1.162
weekday,weekend,iranian-persian,1.111
weekday,weekend,welsh,1.11
weekday,weekend,swiss,1.11
weekday,weekend,clams,1.107
weekday,weekend,manicotti,1.217
weekday,weekend,lobster,1.283
weekday,weekend,quebec,1.415
weekday,weekend,kiwifruit,1.99
weekday,weekend,native-american,1.335
weekday,weekend,plums,1.517
weekday,weekend,polynesian,1.459
weekday,weekend,hunan,1.277
weekday,weekend,chicken-livers,1.104
weekday,weekend,nut-free,1.341
weekday,weekend,ethiopian,1.42
weekday,weekend,oaxacan,1.881
weekday,weekend,papaya,1.15
weekday,weekend,duck,1.916
weekday,weekend,saudi-arabian,1.437
weekday,weekend,halloween-cakes,2.155
weekday,weekend,unprocessed-freezer,1.254
weekday,weekend,tempeh,1.533
weekday,weekend,duck-breasts,1.724
weekday,weekend,college,1.293
weekday,weekend,dips-lunch-snacks,2.069
weekday,weekend,fathers-day,1.724
weekday,weekend,chutneys,1.15
weekday,weekend,pasta-rice-and-grains-elbow-macaroni,1.724
weekday,weekend,crawfish,1.724
weekday,weekend,whole-duck,3.449
weekday,weekend,macaroni-and-cheese,1.15
